Age,Age_Group,Gender,Avg_Daily_Screen_Time_hr,awareness,Primary_Device,Device_Category,Screen_Size,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Health_Impact_Category,Urban_or_Rural
9,Pre-teens,Female,0.0,No harm,TV,Wallmounted,>30,False,0.5,No health impacts,No Impact,Urban
11,Pre-teens,Female,4.02,Need Attention,TV,Wallmounted,>30,True,0.47,Poor Sleep,Mental,Urban
9,Pre-teens,Female,0.0,No harm,Smartphone,Portable,<30,False,0.59,No health impacts,No Impact,Urban
17,Late teens,Male,5.46,Need Attention,Tablet,Portable,<30,True,0.32,"Poor Sleep, Eye Strain, Anxiety",Both Physical and Mental,Rural
16,Teenagers,Male,4.94,Need Attention,Smartphone,Portable,<30,True,0.39,No health impacts,No Impact,Rural
9,Pre-teens,Male,7.91,Moderate Concern,Tablet,Portable,<30,True,0.49,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
16,Teenagers,Female,4.42,Need Attention,Laptop,Portable,<30,True,0.45,"Poor Sleep, Eye Strain, Anxiety",Both Physical and Mental,Urban
13,Teenagers,Female,4.49,Need Attention,Tablet,Portable,<30,True,0.41,"Poor Sleep, Eye Strain, Anxiety",Both Physical and Mental,Urban
8,Pre-teens,Male,7.07,Moderate Concern,TV,Wallmounted,>30,True,0.41,No health impacts,No Impact,Urban
11,Pre-teens,Female,4.18,Need Attention,Smartphone,Portable,<30,True,0.37,"Poor Sleep, Eye Strain, Anxiety",Both Physical and Mental,Rural
8,Pre-teens,Male,0.68,No harm,Smartphone,Portable,<30,False,0.56,No health impacts,No Impact,Rural
13,Teenagers,Female,3.2,Need Attention,Smartphone,Portable,<30,True,0.43,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
11,Pre-teens,Male,4.76,Need Attention,Smartphone,Portable,<30,True,0.42,"Poor Sleep, Anxiety",Mental,Rural
10,Pre-teens,Male,7.08,Moderate Concern,Smartphone,Portable,<30,True,0.58,Poor Sleep,Mental,Urban
10,Pre-teens,Female,0.0,No harm,TV,Wallmounted,>30,False,0.45,No health impacts,No Impact,Rural
16,Teenagers,Female,4.91,Need Attention,Smartphone,Portable,<30,True,0.39,Poor Sleep,Mental,Rural
13,Teenagers,Female,5.41,Need Attention,Laptop,Portable,<30,True,0.39,Poor Sleep,Mental,Urban
16,Teenagers,Female,5.54,Need Attention,Smartphone,Portable,<30,True,0.44,No health impacts,No Impact,Urban
12,Pre-teens,Male,4.87,Need Attention,TV,Wallmounted,>30,True,0.49,Eye Strain,Physical,Urban
9,Pre-teens,Male,3.78,Need Attention,TV,Wallmounted,>30,True,0.46,No health impacts,No Impact,Urban
15,Teenagers,Female,5.84,Need Attention,Smartphone,Portable,<30,True,0.37,Poor Sleep,Mental,Rural
12,Pre-teens,Female,4.84,Need Attention,Laptop,Portable,<30,True,0.47,No health impacts,No Impact,Urban
9,Pre-teens,Male,0.75,No harm,TV,Wallmounted,>30,False,0.5,No health impacts,No Impact,Rural
11,Pre-teens,Female,4.45,Need Attention,TV,Wallmounted,>30,True,0.45,Poor Sleep,Mental,Urban
16,Teenagers,Male,2.39,No harm,Smartphone,Portable,<30,False,0.34,No health impacts,No Impact,Urban
11,Pre-teens,Female,4.14,Need Attention,Smartphone,Portable,<30,True,0.47,No health impacts,No Impact,Urban
11,Pre-teens,Female,3.25,Need Attention,Tablet,Portable,<30,True,0.47,No health impacts,No Impact,Urban
9,Pre-teens,Male,3.53,Need Attention,Smartphone,Portable,<30,True,0.48,No health impacts,No Impact,Rural
13,Teenagers,Female,2.51,No harm,Tablet,Portable,<30,False,0.43,No health impacts,No Impact,Rural
18,Late teens,Female,4.08,Need Attention,Smartphone,Portable,<30,True,0.35,Poor Sleep,Mental,Urban
9,Pre-teens,Female,2.37,No harm,Tablet,Portable,<30,True,0.56,No health impacts,No Impact,Urban
14,Teenagers,Female,3.68,Need Attention,TV,Wallmounted,>30,True,0.31,No health impacts,No Impact,Urban
10,Pre-teens,Female,7.18,Moderate Concern,TV,Wallmounted,>30,True,0.56,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
10,Pre-teens,Female,3.15,Need Attention,Tablet,Portable,<30,True,0.57,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
12,Pre-teens,Male,5.49,Need Attention,Smartphone,Portable,<30,True,0.34,Eye Strain,Physical,Rural
10,Pre-teens,Female,5.14,Need Attention,Tablet,Portable,<30,True,0.51,No health impacts,No Impact,Urban
9,Pre-teens,Female,0.52,No harm,Smartphone,Portable,<30,False,0.42,No health impacts,No Impact,Rural
17,Late teens,Male,4.21,Need Attention,Smartphone,Portable,<30,True,0.33,Poor Sleep,Mental,Urban
16,Teenagers,Male,3.57,Need Attention,Smartphone,Portable,<30,True,0.47,No health impacts,No Impact,Rural
9,Pre-teens,Male,5.29,Need Attention,Smartphone,Portable,<30,True,0.52,Eye Strain,Physical,Urban
18,Late teens,Male,4.89,Need Attention,Smartphone,Portable,<30,True,0.35,No health impacts,No Impact,Urban
9,Pre-teens,Male,3.21,Need Attention,TV,Wallmounted,>30,True,0.48,"Poor Sleep, Anxiety",Mental,Rural
15,Teenagers,Female,5.65,Need Attention,Tablet,Portable,<30,True,0.44,"Poor Sleep, Anxiety",Mental,Urban
16,Teenagers,Male,5.26,Need Attention,Smartphone,Portable,<30,True,0.45,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
14,Teenagers,Male,5.24,Need Attention,Laptop,Portable,<30,True,0.32,No health impacts,No Impact,Rural
10,Pre-teens,Female,5.01,Need Attention,Smartphone,Portable,<30,True,0.5,Anxiety,Mental,Urban
16,Teenagers,Male,4.33,Need Attention,Smartphone,Portable,<30,True,0.31,Obesity Risk,Physical,Urban
10,Pre-teens,Female,4.29,Need Attention,Smartphone,Portable,<30,True,0.43,Poor Sleep,Mental,Urban
12,Pre-teens,Male,3.14,Need Attention,TV,Wallmounted,>30,True,0.34,No health impacts,No Impact,Rural
16,Teenagers,Female,4.8,Need Attention,Laptop,Portable,<30,True,0.34,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
10,Pre-teens,Male,6.25,Moderate Concern,TV,Wallmounted,>30,True,0.44,"Poor Sleep, Obesity Risk",Both Physical and Mental,Urban
14,Teenagers,Female,7.3,Moderate Concern,Smartphone,Portable,<30,True,0.34,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
8,Pre-teens,Female,8.63,Moderate Concern,Smartphone,Portable,<30,True,0.41,"Poor Sleep, Obesity Risk",Both Physical and Mental,Urban
11,Pre-teens,Female,5.2,Need Attention,Laptop,Portable,<30,True,0.5,Anxiety,Mental,Urban
11,Pre-teens,Male,2.89,No harm,Smartphone,Portable,<30,False,0.36,No health impacts,No Impact,Rural
14,Teenagers,Female,4.22,Need Attention,Smartphone,Portable,<30,True,0.46,"Anxiety, Obesity Risk",Both Physical and Mental,Rural
15,Teenagers,Female,4.43,Need Attention,TV,Wallmounted,>30,True,0.36,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
8,Pre-teens,Male,3.41,Need Attention,TV,Wallmounted,>30,True,0.51,Poor Sleep,Mental,Urban
12,Pre-teens,Female,5.22,Need Attention,TV,Wallmounted,>30,True,0.41,Eye Strain,Physical,Rural
14,Teenagers,Male,4.33,Need Attention,Smartphone,Portable,<30,True,0.38,Poor Sleep,Mental,Urban
11,Pre-teens,Male,3.25,Need Attention,Tablet,Portable,<30,True,0.3,Poor Sleep,Mental,Urban
11,Pre-teens,Male,4.03,Need Attention,TV,Wallmounted,>30,True,0.39,Obesity Risk,Physical,Urban
11,Pre-teens,Male,4.16,Need Attention,Laptop,Portable,<30,True,0.32,No health impacts,No Impact,Urban
13,Teenagers,Female,4.41,Need Attention,Smartphone,Portable,<30,True,0.31,"Poor Sleep, Eye Strain, Anxiety",Both Physical and Mental,Rural
14,Teenagers,Female,4.92,Need Attention,Laptop,Portable,<30,True,0.31,"Poor Sleep, Anxiety",Mental,Urban
9,Pre-teens,Male,2.32,No harm,TV,Wallmounted,>30,True,0.42,No health impacts,No Impact,Urban
12,Pre-teens,Female,2.41,No harm,TV,Wallmounted,>30,False,0.47,No health impacts,No Impact,Rural
11,Pre-teens,Male,3.42,Need Attention,TV,Wallmounted,>30,True,0.31,No health impacts,No Impact,Rural
10,Pre-teens,Male,5.51,Need Attention,Tablet,Portable,<30,True,0.54,No health impacts,No Impact,Rural
14,Teenagers,Male,3.67,Need Attention,Laptop,Portable,<30,True,0.35,No health impacts,No Impact,Urban
18,Late teens,Female,5.05,Need Attention,Laptop,Portable,<30,True,0.32,Eye Strain,Physical,Urban
13,Teenagers,Female,4.18,Need Attention,Smartphone,Portable,<30,True,0.37,Poor Sleep,Mental,Urban
14,Teenagers,Female,6.23,Moderate Concern,TV,Wallmounted,>30,True,0.43,Eye Strain,Physical,Urban
12,Pre-teens,Male,5.85,Need Attention,Smartphone,Portable,<30,True,0.49,No health impacts,No Impact,Rural
13,Teenagers,Female,6.12,Moderate Concern,TV,Wallmounted,>30,True,0.36,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
12,Pre-teens,Female,4.24,Need Attention,Laptop,Portable,<30,True,0.43,"Eye Strain, Obesity Risk",Physical,Rural
14,Teenagers,Female,3.39,Need Attention,Laptop,Portable,<30,True,0.38,No health impacts,No Impact,Urban
9,Pre-teens,Male,2.75,No harm,Smartphone,Portable,<30,True,0.51,No health impacts,No Impact,Urban
18,Late teens,Male,5.54,Need Attention,Laptop,Portable,<30,True,0.43,Anxiety,Mental,Urban
12,Pre-teens,Female,1.57,No harm,Laptop,Portable,<30,False,0.49,No health impacts,No Impact,Rural
13,Teenagers,Female,3.79,Need Attention,Laptop,Portable,<30,True,0.31,Poor Sleep,Mental,Rural
13,Teenagers,Male,2.71,No harm,Laptop,Portable,<30,False,0.45,No health impacts,No Impact,Urban
12,Pre-teens,Male,5.04,Need Attention,Smartphone,Portable,<30,True,0.36,"Poor Sleep, Eye Strain",Both Physical and Mental,Rural
17,Late teens,Female,5.83,Need Attention,Smartphone,Portable,<30,True,0.5,"Poor Sleep, Eye Strain, Anxiety",Both Physical and Mental,Urban
14,Teenagers,Male,4.27,Need Attention,Smartphone,Portable,<30,True,0.38,Poor Sleep,Mental,Urban
17,Late teens,Female,5.82,Need Attention,Laptop,Portable,<30,True,0.47,Poor Sleep,Mental,Urban
15,Teenagers,Male,3.06,Need Attention,Smartphone,Portable,<30,True,0.45,No health impacts,No Impact,Urban
14,Teenagers,Female,6.12,Moderate Concern,Laptop,Portable,<30,True,0.49,Poor Sleep,Mental,Rural
12,Pre-teens,Male,4.61,Need Attention,Laptop,Portable,<30,True,0.43,"Poor Sleep, Eye Strain",Both Physical and Mental,Rural
8,Pre-teens,Male,0.0,No harm,Smartphone,Portable,<30,False,0.59,No health impacts,No Impact,Urban
12,Pre-teens,Female,5.92,Need Attention,Laptop,Portable,<30,True,0.46,"Poor Sleep, Anxiety",Mental,Rural
17,Late teens,Female,5.68,Need Attention,Laptop,Portable,<30,True,0.37,"Poor Sleep, Obesity Risk",Both Physical and Mental,Urban
9,Pre-teens,Female,2.37,No harm,TV,Wallmounted,>30,True,0.54,No health impacts,No Impact,Urban
12,Pre-teens,Male,4.8,Need Attention,Smartphone,Portable,<30,True,0.49,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
12,Pre-teens,Female,6.42,Moderate Concern,Smartphone,Portable,<30,True,0.41,Poor Sleep,Mental,Urban
9,Pre-teens,Male,5.65,Need Attention,Smartphone,Portable,<30,True,0.58,Poor Sleep,Mental,Urban
12,Pre-teens,Male,7.05,Moderate Concern,Smartphone,Portable,<30,True,0.45,No health impacts,No Impact,Rural
11,Pre-teens,Female,4.08,Need Attention,Laptop,Portable,<30,True,0.46,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
8,Pre-teens,Male,7.65,Moderate Concern,Smartphone,Portable,<30,True,0.57,Obesity Risk,Physical,Urban
10,Pre-teens,Male,4.56,Need Attention,Tablet,Portable,<30,True,0.42,Poor Sleep,Mental,Urban
8,Pre-teens,Male,6.45,Moderate Concern,Smartphone,Portable,<30,True,0.45,"Poor Sleep, Anxiety",Mental,Urban
18,Late teens,Male,4.86,Need Attention,TV,Wallmounted,>30,True,0.4,"Poor Sleep, Anxiety",Mental,Urban
12,Pre-teens,Male,3.88,Need Attention,Smartphone,Portable,<30,True,0.37,"Poor Sleep, Anxiety",Mental,Urban
11,Pre-teens,Female,4.91,Need Attention,Smartphone,Portable,<30,True,0.48,No health impacts,No Impact,Urban
14,Teenagers,Female,5.57,Need Attention,Tablet,Portable,<30,True,0.45,"Poor Sleep, Anxiety",Mental,Urban
12,Pre-teens,Male,3.26,Need Attention,Laptop,Portable,<30,True,0.47,"Poor Sleep, Anxiety",Mental,Urban
17,Late teens,Male,1.76,No harm,Smartphone,Portable,<30,False,0.34,No health impacts,No Impact,Rural
11,Pre-teens,Male,6.27,Moderate Concern,Smartphone,Portable,<30,True,0.34,"Poor Sleep, Anxiety",Mental,Urban
9,Pre-teens,Female,1.78,No harm,Smartphone,Portable,<30,False,0.53,No health impacts,No Impact,Urban
11,Pre-teens,Female,3.45,Need Attention,Laptop,Portable,<30,True,0.31,No health impacts,No Impact,Urban
9,Pre-teens,Male,4.95,Need Attention,Smartphone,Portable,<30,True,0.51,"Poor Sleep, Eye Strain",Both Physical and Mental,Rural
15,Teenagers,Male,4.45,Need Attention,Laptop,Portable,<30,True,0.49,Anxiety,Mental,Urban
10,Pre-teens,Male,2.14,No harm,Smartphone,Portable,<30,True,0.54,No health impacts,No Impact,Rural
16,Teenagers,Female,4.88,Need Attention,Smartphone,Portable,<30,True,0.46,Obesity Risk,Physical,Urban
11,Pre-teens,Female,1.6,No harm,Tablet,Portable,<30,False,0.34,No health impacts,No Impact,Urban
13,Teenagers,Male,4.98,Need Attention,Smartphone,Portable,<30,True,0.47,Eye Strain,Physical,Urban
17,Late teens,Female,5.25,Need Attention,Laptop,Portable,<30,True,0.33,Poor Sleep,Mental,Urban
12,Pre-teens,Male,5.85,Need Attention,Smartphone,Portable,<30,True,0.47,"Eye Strain, Obesity Risk",Physical,Urban
17,Late teens,Female,3.6,Need Attention,TV,Wallmounted,>30,True,0.43,No health impacts,No Impact,Rural
8,Pre-teens,Male,0.0,No harm,Tablet,Portable,<30,False,0.47,No health impacts,No Impact,Rural
16,Teenagers,Female,4.17,Need Attention,Smartphone,Portable,<30,True,0.39,No health impacts,No Impact,Urban
8,Pre-teens,Female,7.8,Moderate Concern,TV,Wallmounted,>30,True,0.54,"Poor Sleep, Anxiety",Mental,Urban
15,Teenagers,Male,5.44,Need Attention,TV,Wallmounted,>30,True,0.35,Anxiety,Mental,Urban
16,Teenagers,Female,4.95,Need Attention,Smartphone,Portable,<30,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Both Physical and Mental,Rural
16,Teenagers,Female,5.33,Need Attention,TV,Wallmounted,>30,True,0.46,Obesity Risk,Physical,Urban
8,Pre-teens,Female,5.88,Need Attention,Tablet,Portable,<30,True,0.44,Poor Sleep,Mental,Rural
9,Pre-teens,Female,2.34,No harm,Tablet,Portable,<30,True,0.49,No health impacts,No Impact,Urban
8,Pre-teens,Female,3.08,Need Attention,Tablet,Portable,<30,True,0.5,Poor Sleep,Mental,Rural
17,Late teens,Male,4.93,Need Attention,Smartphone,Portable,<30,True,0.34,Poor Sleep,Mental,Urban
9,Pre-teens,Female,3.93,Need Attention,TV,Wallmounted,>30,True,0.46,Anxiety,Mental,Urban
17,Late teens,Female,4.36,Need Attention,Laptop,Portable,<30,True,0.39,"Poor Sleep, Anxiety",Mental,Urban
15,Teenagers,Male,4.4,Need Attention,Smartphone,Portable,<30,True,0.38,"Poor Sleep, Obesity Risk",Both Physical and Mental,Urban
12,Pre-teens,Female,3.72,Need Attention,Tablet,Portable,<30,True,0.44,Poor Sleep,Mental,Urban
18,Late teens,Male,3.81,Need Attention,Smartphone,Portable,<30,True,0.33,Poor Sleep,Mental,Urban
14,Teenagers,Female,4.99,Need Attention,TV,Wallmounted,>30,True,0.48,Poor Sleep,Mental,Urban
9,Pre-teens,Male,7.62,Moderate Concern,Smartphone,Portable,<30,True,0.54,No health impacts,No Impact,Urban
15,Teenagers,Female,4.73,Need Attention,Smartphone,Portable,<30,True,0.37,Poor Sleep,Mental,Rural
18,Late teens,Male,4.32,Need Attention,TV,Wallmounted,>30,True,0.43,"Poor Sleep, Eye Strain",Both Physical and Mental,Rural
13,Teenagers,Female,3.47,Need Attention,TV,Wallmounted,>30,True,0.42,Eye Strain,Physical,Urban
15,Teenagers,Male,3.98,Need Attention,TV,Wallmounted,>30,True,0.43,No health impacts,No Impact,Urban
8,Pre-teens,Female,0.8,No harm,Smartphone,Portable,<30,False,0.41,No health impacts,No Impact,Urban
8,Pre-teens,Male,8.99,Moderate Concern,Smartphone,Portable,<30,True,0.46,"Eye Strain, Obesity Risk",Physical,Urban
14,Teenagers,Male,2.76,No harm,Smartphone,Portable,<30,False,0.39,No health impacts,No Impact,Rural
15,Teenagers,Female,4.69,Need Attention,Smartphone,Portable,<30,True,0.33,"Poor Sleep, Anxiety",Mental,Rural
10,Pre-teens,Female,1.44,No harm,TV,Wallmounted,>30,False,0.52,No health impacts,No Impact,Urban
12,Pre-teens,Male,3.65,Need Attention,TV,Wallmounted,>30,True,0.46,"Poor Sleep, Eye Strain, Obesity Risk",Both Physical and Mental,Urban
8,Pre-teens,Female,3.71,Need Attention,Tablet,Portable,<30,True,0.52,"Poor Sleep, Obesity Risk",Both Physical and Mental,Urban
14,Teenagers,Male,6.34,Moderate Concern,Laptop,Portable,<30,True,0.46,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
12,Pre-teens,Female,2.87,No harm,TV,Wallmounted,>30,False,0.48,No health impacts,No Impact,Rural
15,Teenagers,Male,4.16,Need Attention,Smartphone,Portable,<30,True,0.34,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
15,Teenagers,Male,5.17,Need Attention,Smartphone,Portable,<30,True,0.41,"Poor Sleep, Eye Strain",Both Physical and Mental,Rural
16,Teenagers,Female,5.11,Need Attention,TV,Wallmounted,>30,True,0.34,Poor Sleep,Mental,Urban
14,Teenagers,Male,5.07,Need Attention,Smartphone,Portable,<30,True,0.34,Eye Strain,Physical,Urban
18,Late teens,Male,5.22,Need Attention,Smartphone,Portable,<30,True,0.41,No health impacts,No Impact,Urban
8,Pre-teens,Male,0.04,No harm,Tablet,Portable,<30,False,0.53,No health impacts,No Impact,Rural
10,Pre-teens,Female,0.42,No harm,Smartphone,Portable,<30,False,0.43,No health impacts,No Impact,Urban
15,Teenagers,Female,3.7,Need Attention,Smartphone,Portable,<30,True,0.32,Poor Sleep,Mental,Urban
10,Pre-teens,Male,4.37,Need Attention,Smartphone,Portable,<30,True,0.56,"Poor Sleep, Obesity Risk",Both Physical and Mental,Rural
15,Teenagers,Female,5.79,Need Attention,Smartphone,Portable,<30,True,0.31,No health impacts,No Impact,Urban
8,Pre-teens,Male,6.33,Moderate Concern,Tablet,Portable,<30,True,0.54,"Poor Sleep, Anxiety, Obesity Risk",Both Physical and Mental,Rural
12,Pre-teens,Female,3.27,Need Attention,TV,Wallmounted,>30,True,0.43,Poor Sleep,Mental,Urban
11,Pre-teens,Female,4.95,Need Attention,Smartphone,Portable,<30,True,0.41,"Poor Sleep, Eye Strain, Anxiety",Both Physical and Mental,Urban
12,Pre-teens,Female,3.24,Need Attention,Laptop,Portable,<30,True,0.37,"Anxiety, Obesity Risk",Both Physical and Mental,Urban
15,Teenagers,Female,4.19,Need Attention,Smartphone,Portable,<30,True,0.37,Poor Sleep,Mental,Rural
17,Late teens,Female,3.29,Need Attention,Smartphone,Portable,<30,True,0.34,No health impacts,No Impact,Urban
11,Pre-teens,Female,4.38,Need Attention,TV,Wallmounted,>30,True,0.44,"Poor Sleep, Obesity Risk",Both Physical and Mental,Rural
18,Late teens,Female,4.45,Need Attention,TV,Wallmounted,>30,True,0.42,No health impacts,No Impact,Urban
11,Pre-teens,Female,3.99,Need Attention,Laptop,Portable,<30,True,0.33,Poor Sleep,Mental,Rural
10,Pre-teens,Male,3.06,Need Attention,TV,Wallmounted,>30,True,0.53,"Poor Sleep, Anxiety",Mental,Urban
14,Teenagers,Female,6.32,Moderate Concern,Tablet,Portable,<30,True,0.36,Poor Sleep,Mental,Urban
10,Pre-teens,Female,1.38,No harm,Smartphone,Portable,<30,False,0.48,No health impacts,No Impact,Urban
10,Pre-teens,Female,8.26,Moderate Concern,TV,Wallmounted,>30,True,0.59,Poor Sleep,Mental,Urban
18,Late teens,Male,3.25,Need Attention,Laptop,Portable,<30,True,0.37,No health impacts,No Impact,Urban
17,Late teens,Female,4.75,Need Attention,Smartphone,Portable,<30,True,0.34,"Poor Sleep, Eye Strain, Obesity Risk",Both Physical and Mental,Urban
12,Pre-teens,Female,5.49,Need Attention,TV,Wallmounted,>30,True,0.33,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
12,Pre-teens,Male,4.26,Need Attention,Laptop,Portable,<30,True,0.43,Poor Sleep,Mental,Urban
13,Teenagers,Male,7.41,Moderate Concern,TV,Wallmounted,>30,True,0.3,"Poor Sleep, Eye Strain, Anxiety",Both Physical and Mental,Urban
15,Teenagers,Female,3.67,Need Attention,Smartphone,Portable,<30,True,0.46,Eye Strain,Physical,Rural
17,Late teens,Male,4.51,Need Attention,Smartphone,Portable,<30,True,0.48,Poor Sleep,Mental,Rural
13,Teenagers,Male,4.38,Need Attention,Smartphone,Portable,<30,True,0.43,No health impacts,No Impact,Rural
8,Pre-teens,Male,3.25,Need Attention,Smartphone,Portable,<30,True,0.43,Eye Strain,Physical,Rural
15,Teenagers,Female,4.1,Need Attention,Smartphone,Portable,<30,True,0.41,Poor Sleep,Mental,Urban
15,Teenagers,Female,5.91,Need Attention,Smartphone,Portable,<30,True,0.32,Poor Sleep,Mental,Urban
16,Teenagers,Female,5.79,Need Attention,Smartphone,Portable,<30,True,0.39,"Poor Sleep, Anxiety",Mental,Urban
16,Teenagers,Male,5.96,Need Attention,Smartphone,Portable,<30,True,0.31,"Poor Sleep, Anxiety",Mental,Urban
9,Pre-teens,Female,0.0,No harm,Smartphone,Portable,<30,False,0.51,No health impacts,No Impact,Rural
9,Pre-teens,Female,7.73,Moderate Concern,Smartphone,Portable,<30,True,0.53,Poor Sleep,Mental,Rural
10,Pre-teens,Female,4.17,Need Attention,Smartphone,Portable,<30,True,0.58,Poor Sleep,Mental,Rural
8,Pre-teens,Male,8.12,Moderate Concern,Smartphone,Portable,<30,True,0.49,"Poor Sleep, Eye Strain, Obesity Risk",Both Physical and Mental,Urban
11,Pre-teens,Female,2.4,No harm,Tablet,Portable,<30,False,0.39,No health impacts,No Impact,Rural
11,Pre-teens,Female,4.88,Need Attention,Laptop,Portable,<30,True,0.42,No health impacts,No Impact,Urban
16,Teenagers,Female,6.64,Moderate Concern,Smartphone,Portable,<30,True,0.42,"Poor Sleep, Obesity Risk",Both Physical and Mental,Rural
16,Teenagers,Male,3.82,Need Attention,TV,Wallmounted,>30,True,0.41,Poor Sleep,Mental,Urban
16,Teenagers,Male,5.05,Need Attention,Smartphone,Portable,<30,True,0.42,Poor Sleep,Mental,Urban
17,Late teens,Male,5.69,Need Attention,Laptop,Portable,<30,True,0.31,Poor Sleep,Mental,Urban
14,Teenagers,Female,3.34,Need Attention,Tablet,Portable,<30,True,0.48,"Poor Sleep, Obesity Risk",Both Physical and Mental,Urban
9,Pre-teens,Male,0.0,No harm,Smartphone,Portable,<30,False,0.47,No health impacts,No Impact,Urban
17,Late teens,Male,4.23,Need Attention,Laptop,Portable,<30,True,0.33,"Poor Sleep, Anxiety",Mental,Rural
12,Pre-teens,Male,3.21,Need Attention,TV,Wallmounted,>30,True,0.32,Poor Sleep,Mental,Urban
11,Pre-teens,Male,3.2,Need Attention,TV,Wallmounted,>30,True,0.44,Anxiety,Mental,Rural
18,Late teens,Male,3.96,Need Attention,Smartphone,Portable,<30,True,0.46,Poor Sleep,Mental,Urban
15,Teenagers,Male,5.98,Need Attention,TV,Wallmounted,>30,True,0.48,"Poor Sleep, Anxiety",Mental,Urban
9,Pre-teens,Female,2.64,No harm,TV,Wallmounted,>30,True,0.46,No health impacts,No Impact,Urban
13,Teenagers,Female,5.65,Need Attention,Laptop,Portable,<30,True,0.43,"Anxiety, Obesity Risk",Both Physical and Mental,Rural
12,Pre-teens,Female,3.22,Need Attention,Laptop,Portable,<30,True,0.39,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
9,Pre-teens,Male,0.28,No harm,Smartphone,Portable,<30,False,0.5,No health impacts,No Impact,Urban
18,Late teens,Male,5.82,Need Attention,Laptop,Portable,<30,True,0.38,"Eye Strain, Obesity Risk",Physical,Urban
17,Late teens,Male,4.57,Need Attention,Tablet,Portable,<30,True,0.31,"Eye Strain, Anxiety",Both Physical and Mental,Urban
8,Pre-teens,Female,1.65,No harm,TV,Wallmounted,>30,False,0.45,No health impacts,No Impact,Urban
15,Teenagers,Male,4.74,Need Attention,Laptop,Portable,<30,True,0.36,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
9,Pre-teens,Male,5.78,Need Attention,TV,Wallmounted,>30,True,0.55,No health impacts,No Impact,Urban
14,Teenagers,Male,3.26,Need Attention,Smartphone,Portable,<30,True,0.49,Poor Sleep,Mental,Urban
16,Teenagers,Male,4.09,Need Attention,TV,Wallmounted,>30,True,0.48,No health impacts,No Impact,Rural
16,Teenagers,Male,5.8,Need Attention,Smartphone,Portable,<30,True,0.48,No health impacts,No Impact,Urban
15,Teenagers,Female,4.07,Need Attention,Smartphone,Portable,<30,True,0.36,"Eye Strain, Obesity Risk",Physical,Urban
18,Late teens,Male,3.41,Need Attention,Smartphone,Portable,<30,True,0.41,No health impacts,No Impact,Urban
17,Late teens,Female,2.64,No harm,Smartphone,Portable,<30,False,0.31,No health impacts,No Impact,Urban
16,Teenagers,Male,5.49,Need Attention,Smartphone,Portable,<30,True,0.46,Obesity Risk,Physical,Urban
9,Pre-teens,Male,0.0,No harm,TV,Wallmounted,>30,False,0.55,No health impacts,No Impact,Rural
13,Teenagers,Male,4.87,Need Attention,TV,Wallmounted,>30,True,0.32,Poor Sleep,Mental,Urban
11,Pre-teens,Female,2.11,No harm,TV,Wallmounted,>30,False,0.46,No health impacts,No Impact,Urban
11,Pre-teens,Male,5.61,Need Attention,Laptop,Portable,<30,True,0.5,No health impacts,No Impact,Urban
12,Pre-teens,Female,3.97,Need Attention,Smartphone,Portable,<30,True,0.49,Eye Strain,Physical,Rural
10,Pre-teens,Female,5.16,Need Attention,TV,Wallmounted,>30,True,0.57,No health impacts,No Impact,Urban
8,Pre-teens,Female,6.72,Moderate Concern,Smartphone,Portable,<30,True,0.53,No health impacts,No Impact,Urban
15,Teenagers,Male,5.74,Need Attention,Tablet,Portable,<30,True,0.38,"Poor Sleep, Anxiety",Mental,Urban
12,Pre-teens,Female,4.02,Need Attention,Smartphone,Portable,<30,True,0.31,"Eye Strain, Anxiety",Both Physical and Mental,Urban
10,Pre-teens,Male,7.53,Moderate Concern,Smartphone,Portable,<30,True,0.45,No health impacts,No Impact,Urban
17,Late teens,Female,4.93,Need Attention,TV,Wallmounted,>30,True,0.37,"Poor Sleep, Anxiety, Obesity Risk",Both Physical and Mental,Urban
14,Teenagers,Male,4.75,Need Attention,Smartphone,Portable,<30,True,0.37,Poor Sleep,Mental,Rural
14,Teenagers,Male,1.55,No harm,Smartphone,Portable,<30,False,0.41,No health impacts,No Impact,Urban
8,Pre-teens,Female,3.28,Need Attention,Smartphone,Portable,<30,True,0.59,"Eye Strain, Obesity Risk",Physical,Urban
